mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_activation,param_alpha,param_hidden_layer_sizes,param_learning_rate_init,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score
0.017015616099039715,0.000816632448796266,0.0013346672058105469,0.0004725509566908495,relu,10.0,"(20,)",1e-06,"{'activation': 'relu', 'alpha': 10.0, 'hidden_layer_sizes': (20,), 'learning_rate_init': 1e-06}",0.4700989561019458,0.5364248317127889,0.49229839927514246,0.4995984401762631,0.027566850359009562,597,0.5144660704892158,0.4813818810132317,0.5040278909924452,0.4999586141649642,0.013809662287560568
0.043372790018717446,0.0045005865236860685,0.0013345082600911458,0.0004718199602889324,relu,10.0,"(20,)",0.001,"{'activation': 'relu', 'alpha': 10.0, 'hidden_layer_sizes': (20,), 'learning_rate_init': 0.001}",0.3484624239434305,0.3069417101771808,0.2587986239745967,0.30474752376706576,0.0366407153224895,1139,0.30681040383298974,0.26919169695290457,0.33381804123441916,0.30327338067343784,0.026501874064823145
0.02869280179341634,0.0018870549073687027,0.001000801722208659,2.247831920581015e-07,relu,10.0,"(20,)",0.002,"{'activation': 'relu', 'alpha': 10.0, 'hidden_layer_sizes': (20,), 'learning_rate_init': 0.002}",0.3145794000419553,0.29555757026291957,0.2459722160578761,0.2853785936347018,0.028920443141118825,1158,0.28941385358248584,0.27578029113033886,0.31715359792173614,0.2941159142115203,0.017214715784915083
0.020351886749267578,0.002056705597888577,0.001000801722208659,1.1239159602905075e-07,relu,10.0,"(20,)",0.004,"{'activation': 'relu', 'alpha': 10.0, 'hidden_layer_sizes': (20,), 'learning_rate_init': 0.004}",0.4129577093092303,0.2590271033813015,0.23319027181688148,0.3017587861907281,0.07936910133661078,1144,0.28953924138379095,0.2579770621110835,0.31199710759327537,0.2865044703627166,0.022157748153295177
0.01701498031616211,1.0300859925600466e-06,0.0013346672058105469,0.0004720447033220132,relu,10.0,"(20,)",0.008,"{'activation': 'relu', 'alpha': 10.0, 'hidden_layer_sizes': (20,), 'learning_rate_init': 0.008}",0.30400994715573537,0.23402727925341013,0.24619075118830816,0.2614222547341912,0.03053412102750309,1190,0.2838484980409217,0.22640283619622534,0.3061250622465664,0.2721254654945711,0.03358551722263149
0.023688395818074543,0.006804621319042275,0.001000801722208659,1.1239159602905075e-07,relu,10.0,"(20,)",0.016,"{'activation': 'relu', 'alpha': 10.0, 'hidden_layer_sizes': (20,), 'learning_rate_init': 0.016}",0.5235195717631317,0.31921324875473656,0.38639800547676495,0.4097448153304614,0.08503124452047468,884,0.47657151650380647,0.4119691293947721,0.38996994226684834,0.4261701960551423,0.03675332987906494
0.03069440523783366,0.012483309168214178,0.0013345877329508464,0.00047176373437288107,relu,10.0,"(20,)",0.032,"{'activation': 'relu', 'alpha': 10.0, 'hidden_layer_sizes': (20,), 'learning_rate_init': 0.032}",0.49818297023798463,0.4931921331316189,0.4769384769384772,0.48944051415736284,0.009070112134424838,628,0.4427342688999527,0.5789627927695568,0.4590242985065973,0.49357378672536895,0.06074428933958647
0.017682870229085285,0.00330282774932402,0.0010007222493489583,1.1239159602905075e-07,relu,10.0,"(20,)",0.064,"{'activation': 'relu', 'alpha': 10.0, 'hidden_layer_sizes': (20,), 'learning_rate_init': 0.064}",0.19103141034791057,0.1097062641219173,0.23465898866294785,0.17846936799093646,0.051772403859842595,1350,0.24684869270856427,0.1670655788302841,0.24012008236132126,0.21801145130005653,0.03612875116008481
0.02001818021138509,0.004550468611155826,0.0010009606679280598,1.1239159602905075e-07,relu,10.0,"(20,)",0.128,"{'activation': 'relu', 'alpha': 10.0, 'hidden_layer_sizes': (20,), 'learning_rate_init': 0.128}",0.6427726416334405,0.2827406764960974,0.19459111988612904,0.3734499076123933,0.19389446168195829,964,0.577604535790217,0.3670382084113762,0.2008461765181255,0.38182964023990623,0.1541661553043839
0.014012654622395834,1.1239159602905075e-07,0.0010010401407877605,1.1239159602905075e-07,relu,10.0,"(10,)",1e-06,"{'activation': 'relu', 'alpha': 10.0, 'hidden_layer_sizes': (10,), 'learning_rate_init': 1e-06}",0.4090916799032279,0.4287014870013821,0.4160601566003241,0.4179484190859851,0.00811679888045459,844,0.42245259855408324,0.4125553124933173,0.4189239457576654,0.4179772856016886,0.004095623023858801
0.03936910629272461,0.004501464270983314,0.0010005633036295574,6.836513890459241e-07,relu,10.0,"(10,)",0.001,"{'activation': 'relu', 'alpha': 10.0, 'hidden_layer_sizes': (10,), 'learning_rate_init': 0.001}",0.39691038816521584,0.3045952603414596,0.30563368277507913,0.33573168319742996,0.043281647651827376,1089,0.33698573495968426,0.40463384360777677,0.3730802897830019,0.3715666227834877,0.027637957495144198
0.03136213620503744,0.008814810821648214,0.0010007222493489583,2.9736021254650284e-07,relu,10.0,"(10,)",0.002,"{'activation': 'relu', 'alpha': 10.0, 'hidden_layer_sizes': (10,), 'learning_rate_init': 0.002}",0.4077495342201611,0.30667920978363156,0.2947939542694745,0.33642921767473977,0.05068674525035673,1088,0.33150019714860707,0.3794129057286938,0.36261829192722367,0.3578437982681748,0.019849496268088723
0.02402210235595703,0.003562474907043776,0.0013343493143717449,0.00047176373437288107,relu,10.0,"(10,)",0.004,"{'activation': 'relu', 'alpha': 10.0, 'hidden_layer_sizes': (10,), 'learning_rate_init': 0.004}",0.403949156607243,0.30667920978363156,0.317860019500615,0.3428480111883043,0.043464972277971456,1043,0.289539241383791,0.37384746916771905,0.37292723159340657,0.34543798071497217,0.039528162984635
