,train,test
0.1,0.002416739999898709,0.0006549600000198552
0.2,0.0017443200000798243,0.00020958000000064202
0.30000000000000004,0.0017455799999424927,0.00018369999997958075
0.4,0.002258560000018406,0.00016792000001260022
0.5,0.002735399999983201,0.00015046000003167138
0.6,0.003200079999987793,0.00013765999992756405
0.7000000000000001,0.003667680000035034,0.00010869999996430125
0.8,0.004110739999987345,9.357999997519073e-05
0.9,0.004582019999952535,7.642000000487314e-05
