param_n_estimators,train acc,test acc
1,0.8816998136200845,0.8577429995710253
2,0.8783967032386453,0.8710791972118738
5,0.8880033955188462,0.8771970734835459
10,0.8906857643333312,0.875198728139905
20,0.897999101431597,0.8734629115430387
30,0.8891867946447951,0.8775239107332627
40,0.8891867946447951,0.8775239107332627
50,0.8891867946447951,0.8775239107332627
60,0.8891867946447951,0.8775239107332627
70,0.8891867946447951,0.8775239107332627
80,0.8891867946447951,0.8775239107332627
90,0.8891867946447951,0.8775239107332627
100,0.8891867946447951,0.8775239107332627
