param_max_iter,train acc,test acc
1,0.6666666666667065,0.6666666666666586
2,0.6666666666667065,0.6666666666666586
4,0.6666666666667065,0.6666666666666586
8,0.6666666666667065,0.6666666666666586
16,0.6666666666667065,0.6666666666666586
32,0.6666666666667065,0.6666666666666586
64,0.6676527477529125,0.6675761709868042
128,0.6684132589133552,0.6675761709868042
256,0.7524041543787904,0.7532067727039468
512,0.8382541134362068,0.8298473713962679
1024,0.9566272184444155,0.7943332185547741
2048,0.9569453990635417,0.7802285410576668
