mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_class_weight,param_criterion,param_max_depth,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score
0.004670858383178711,0.0004715389511856095,0.002002239227294922,1.9466795466607238e-07,balanced,gini,1,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 1}",0.712635853047731,0.6569819636007499,0.7415901908734669,0.7037387035241719,0.03510478045167475,21,0.7769001739267141,0.7141786565155301,0.7121563836285859,0.73441173802361,0.03005520238967459
0.002335151036580404,0.0004719885978494184,0.001000801722208659,2.9736021254650284e-07,balanced,gini,2,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 2}",0.807510556104578,0.8500119990400774,0.8577611079053652,0.8384185045781569,0.022092775641754717,5,0.8231424976521751,0.8615711481722772,0.8503009800735151,0.8450048752993226,0.016129204145141116
0.0030030409495035806,2.9736021254650284e-07,0.0006679693857828776,0.00047232617373255044,balanced,gini,3,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 3}",0.840005057529399,0.8364419274063328,0.8653300410883806,0.8472568071720804,0.012859349024003432,1,0.8758550066439824,0.8650221666477196,0.8493313993919983,0.8634028575612335,0.010888589037843193
0.003670374552408854,0.00047249491133231236,0.000667413075764974,0.0004719323518753975,balanced,gini,4,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 4}",0.8426045709357501,0.8090653531358057,0.8874176791497304,0.8463613939022483,0.03209258366539124,2,0.8820900536205556,0.8904371050602784,0.8803217564395835,0.8842829717068058,0.004411102411665435
0.004670858383178711,0.0004723819182213035,0.0006673336029052734,0.0004718761259665186,balanced,gini,5,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 5}",0.7967583271744968,0.8016070592294985,0.8799214898240524,0.8260867218287014,0.03810971669038436,7,0.9048750188523478,0.9178997930690246,0.8876565385176547,0.903477116813009,0.012386261449644644
0.007339159647623698,0.0033021776263788697,0.0010009606679280598,0.0008176056027204521,balanced,gini,6,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 6}",0.7894606512153286,0.8007736943907152,0.8716403262691064,0.8206154325857755,0.03636635014502432,8,0.9229683941898302,0.93737298469042,0.9077618779722887,0.9227010856175131,0.012090161307795291
0.010675827662150065,0.003684491832229833,0.0013345877329508464,0.0012484243728881777,balanced,gini,7,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 7}",0.7676076098546506,0.7878077373974204,0.8618544286861115,0.8057450141395991,0.04051462130419916,11,0.9265505636668407,0.9486512485215005,0.9284925304149569,0.934564780867766,0.009992138140640951
0.005671580632527669,0.0004719326730705818,0.0010004043579101562,6.743495761743046e-07,balanced,gini,8,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 8}",0.7438000799375734,0.7611493407574718,0.852973395931142,0.7859614727573568,0.04790042467027603,13,0.9489998922386991,0.9574979745630832,0.936104733765625,0.9475342001891357,0.008795031849198436
0.00567166010538737,0.0004719885978494184,0.001001119613647461,5.150429962800233e-07,balanced,gini,9,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 9}",0.7212783525183358,0.7263881716630872,0.8271496306873888,0.7582608244001438,0.048745319265610224,15,0.9636568384441332,0.9694581280788166,0.9505338571213842,0.9612162745481113,0.007916197400078073
0.006005128224690755,0.0008170215989944975,0.0006676514943440756,0.00047210090915379704,balanced,gini,10,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 10}",0.7028118979695412,0.7017602682313487,0.7918248052398623,0.7321234253535404,0.042207825872878656,18,0.973147687717553,0.9759484254897087,0.9655652359847973,0.9715537830640196,0.004386194638266927
0.006672859191894531,0.0004722135415005225,0.0006672541300455729,0.0004718199602889324,balanced,gini,11,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 11}",0.6758150653578154,0.6857094182117598,0.781770694525878,0.714420006256196,0.04778434999521499,20,0.9782554361409646,0.9808123598305497,0.9712070962725514,0.9767582974146886,0.004061718870867272
0.010343313217163086,0.005441794721640598,0.0013344287872314453,0.0012480845456581367,balanced,gini,12,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 12}",0.6412729332302907,0.6608807834398629,0.7376174103348867,0.6799119788724627,0.04157268637769212,25,0.9856459330143538,0.986466165413533,0.9808304892490113,0.9843141958922993,0.0024860080825201128
0.006339867909749349,0.0004723259330368765,0.0010005633036295574,1.251539846104274e-06,balanced,gini,13,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 13}",0.6433502559636344,0.6359447004608283,0.7018894651465649,0.6603896343371629,0.029493521108185178,28,0.9893832153690594,0.9896907216494844,0.9853247290792445,0.9881328886992627,0.001989633193455672
0.006672859191894531,0.0004720447434618672,0.0006674925486246744,0.00047198875842789976,balanced,gini,14,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 14}",0.6001623483468991,0.6437501864947919,0.7031787359446081,0.6490155926166019,0.042223847798714284,30,0.9903846153846151,0.9914357682619646,0.9903160040774714,0.9907121292413503,0.0005124561457553168
0.011010964711507162,0.004971523383409495,0.0016678969065348308,0.0009427969485089362,balanced,gini,15,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 15}",0.6100597582283959,0.6583696328562527,0.6665958614341598,0.6449978109328922,0.02494322899675727,31,0.9913880445795338,0.9926860025220676,0.9951344430217667,0.9930694967077893,0.0015533139122218794
