mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_metric,param_n_neighbors,param_weights,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score
0.0026694138844807944,0.0009438646234519682,0.04103771845499674,0.0008163406268824734,manhattan,1,uniform,"{'metric': 'manhattan', 'n_neighbors': 1, 'weights': 'uniform'}",0.4864815679803945,0.47374892871781493,0.4748104716734512,0.4783494582215671,0.005769183148480548,6,1.0,1.0,1.0,1.0,0.0
0.004003047943115234,0.0014152913369978432,0.06539265314737956,0.022682297055536173,manhattan,1,distance,"{'metric': 'manhattan', 'n_neighbors': 1, 'weights': 'distance'}",0.4864815679803945,0.47374892871781493,0.4748104716734512,0.4783494582215671,0.005769183148480548,6,1.0,1.0,1.0,1.0,0.0
0.002001047134399414,0.0,0.04537487030029297,0.00047120177640471074,manhattan,2,uniform,"{'metric': 'manhattan', 'n_neighbors': 2, 'weights': 'uniform'}",0.29070886649303607,0.25788872286191467,0.20743568766475795,0.25202283673266557,0.034250673995841224,120,0.5185185185185163,0.5568862275449082,0.525993883792047,0.5337995432851572,0.016607558802650788
0.003003358840942383,0.002162923108869414,0.0517125129699707,0.008020882475349512,manhattan,2,distance,"{'metric': 'manhattan', 'n_neighbors': 2, 'weights': 'distance'}",0.4864815679803945,0.47374892871781493,0.4748104716734512,0.4783494582215671,0.005769183148480548,6,1.0,1.0,1.0,1.0,0.0
0.004003842671712239,0.0014155159863059178,0.060054937998453774,0.009282801603120335,manhattan,3,uniform,"{'metric': 'manhattan', 'n_neighbors': 3, 'weights': 'uniform'}",0.4750115197329916,0.40980515399120077,0.3835760944536864,0.42281343580547615,0.038447191147228714,27,0.6821216247633577,0.6811601412865015,0.6571936554157138,0.673491807155191,0.011531216333973152
0.004670302073160808,0.0009441460088338026,0.06606109937032063,0.004245648745836879,manhattan,3,distance,"{'metric': 'manhattan', 'n_neighbors': 3, 'weights': 'distance'}",0.4656676022453893,0.40980515399120077,0.383265091012284,0.4195932697667706,0.03434747354283964,30,1.0,1.0,1.0,1.0,0.0
0.0020019213358561196,5.947204250930057e-07,0.0493778387705485,0.0009452136433412784,manhattan,4,uniform,"{'metric': 'manhattan', 'n_neighbors': 4, 'weights': 'uniform'}",0.2902118159080956,0.2827406764960974,0.2585705472812199,0.27717830330515675,0.01350369908266622,118,0.4193600257276071,0.48695929717609515,0.45718440991812637,0.4545012442739429,0.0276624282917846
0.0016684532165527344,0.0004718766078166204,0.0493776798248291,0.0009440894869237344,manhattan,4,distance,"{'metric': 'manhattan', 'n_neighbors': 4, 'weights': 'distance'}",0.4572547780761337,0.40146188376435094,0.39356136820925586,0.417438097654838,0.028351469476100215,32,1.0,1.0,1.0,1.0,0.0
0.003002723058064779,0.0014147292451504635,0.05972131093343099,0.008584323081312085,manhattan,5,uniform,"{'metric': 'manhattan', 'n_neighbors': 5, 'weights': 'uniform'}",0.4181572008836317,0.3725106105125698,0.37190352020860534,0.3875330741435391,0.021665803543512756,51,0.5444001981905908,0.5597291419414285,0.5765033016368238,0.5602108805896143,0.013110463170403288
0.0016678174336751301,0.0004719323117259841,0.05037871996561686,0.0009440332560060365,manhattan,5,distance,"{'metric': 'manhattan', 'n_neighbors': 5, 'weights': 'distance'}",0.4181572008836317,0.3725106105125698,0.3722068178111242,0.3876341426617685,0.021593243630043245,50,1.0,1.0,1.0,1.0,0.0
0.002668460210164388,0.0009436960812340847,0.05872098604838053,0.0108520267717717,manhattan,6,uniform,"{'metric': 'manhattan', 'n_neighbors': 6, 'weights': 'uniform'}",0.31537992386801,0.23360802579720552,0.27146425910505356,0.27349678456862625,0.033416673562541695,119,0.38718925338903054,0.41196912939477204,0.33048914420883546,0.3765491756642127,0.03410430507494848
0.001667022705078125,0.0004713705145349331,0.051380554835001625,0.0009438648041243189,manhattan,6,distance,"{'metric': 'manhattan', 'n_neighbors': 6, 'weights': 'distance'}",0.4681518432439585,0.3719035202086054,0.35173043406091825,0.39728344689318584,0.05080607069106627,41,1.0,1.0,1.0,1.0,0.0
0.002000729242960612,2.9736021254650284e-07,0.05204900105794271,0.0008170214366552674,manhattan,7,uniform,"{'metric': 'manhattan', 'n_neighbors': 7, 'weights': 'uniform'}",0.419472442633498,0.3069417101771808,0.3743438320209977,0.3669352776290787,0.04624152135448526,74,0.4373766869228928,0.46529136161628976,0.4207704527402685,0.4411461670931503,0.018369985798438012
0.003002007802327474,0.0021618929819979945,0.06706126530965169,0.010207243691767355,manhattan,7,distance,"{'metric': 'manhattan', 'n_neighbors': 7, 'weights': 'distance'}",0.4291189717250192,0.3069417101771808,0.37403704310768765,0.37005050714190646,0.049961987206566034,72,1.0,1.0,1.0,1.0,0.0
0.004003206888834636,0.0008171189735287775,0.0890810489654541,0.030457588037215624,manhattan,8,uniform,"{'metric': 'manhattan', 'n_neighbors': 8, 'weights': 'uniform'}",0.33647792250686387,0.23381746458669558,0.2955575702629196,0.2886321775720549,0.04219910031546381,116,0.3305170665765446,0.3638223668914193,0.35287138193386647,0.34907027180061007,0.013859944346926643
0.004003604253133138,0.0008170214366552674,0.06606197357177734,0.00942455332546488,manhattan,8,distance,"{'metric': 'manhattan', 'n_neighbors': 8, 'weights': 'distance'}",0.4304633189638435,0.3410755388156522,0.3746511246100808,0.3820780163832227,0.03687091649472748,65,1.0,1.0,1.0,1.0,0.0
