param_n_estimators,train acc,test acc
1,0.7482993197278909,0.8051118210862619
2,0.7482993197278909,0.8051118210862619
5,0.8339076498966238,0.8397104446742503
10,0.8469750889679719,0.8870720490546755
20,0.8575581395348839,0.8870720490546755
30,0.8575581395348839,0.8870720490546755
40,0.8575581395348839,0.8870720490546755
50,0.8575581395348839,0.8870720490546755
60,0.8575581395348839,0.8870720490546755
70,0.8575581395348839,0.8870720490546755
80,0.8575581395348839,0.8870720490546755
90,0.8575581395348839,0.8870720490546755
100,0.8575581395348839,0.8870720490546755
