mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_class_weight,param_decision_function_shape,param_gamma,param_max_iter,param_tol,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score
0.0030024051666259766,3.8933590933214475e-07,0.0023358662923177085,0.0004718202815606281,0.001,balanced,ovo,1e-06,4126,1e-08,"{'C': 0.001, 'class_weight': 'balanced', 'decision_function_shape': 'ovo', 'gamma': 1e-06, 'max_iter': 4126, 'tol': 1e-08}",0.6666666666666666,0.6666666666666665,0.0,0.44628099173553715,0.31361431340512846,381,0.6666666666666671,0.666666666666667,0.0,0.44444444444444464,0.3142696805273546
0.0016678174336751301,0.0009428530990877068,0.002001523971557617,0.0008175080930033075,0.001,balanced,ovo,1e-06,4126,0.01000001,"{'C': 0.001, 'class_weight': 'balanced', 'decision_function_shape': 'ovo', 'gamma': 1e-06, 'max_iter': 4126, 'tol': 0.01000001}",0.6666666666666666,0.6666666666666665,0.0,0.44628099173553715,0.31361431340512846,381,0.6666666666666671,0.666666666666667,0.0,0.44444444444444464,0.3142696805273546
0.001001437505086263,7.370009816086851e-07,0.0010005633036295574,4.052336624139774e-07,0.001,balanced,ovo,1e-06,4126,0.020000010000000002,"{'C': 0.001, 'class_weight': 'balanced', 'decision_function_shape': 'ovo', 'gamma': 1e-06, 'max_iter': 4126, 'tol': 0.020000010000000002}",0.6666666666666666,0.6666666666666665,0.0,0.44628099173553715,0.31361431340512846,381,0.6666666666666671,0.666666666666667,0.0,0.44444444444444464,0.3142696805273546
0.001000801722208659,2.9736021254650284e-07,0.001001119613647461,3.371747880871523e-07,0.001,balanced,ovo,1e-06,4126,0.03000001,"{'C': 0.001, 'class_weight': 'balanced', 'decision_function_shape': 'ovo', 'gamma': 1e-06, 'max_iter': 4126, 'tol': 0.03000001}",0.6666666666666666,0.6666666666666665,0.0,0.44628099173553715,0.31361431340512846,381,0.6666666666666671,0.666666666666667,0.0,0.44444444444444464,0.3142696805273546
0.0010019938151041667,7.867411722033552e-07,0.0010007222493489583,9.989583563785977e-07,0.001,balanced,ovo,1e-06,4126,0.04000001,"{'C': 0.001, 'class_weight': 'balanced', 'decision_function_shape': 'ovo', 'gamma': 1e-06, 'max_iter': 4126, 'tol': 0.04000001}",0.6666666666666666,0.6666666666666665,0.0,0.44628099173553715,0.31361431340512846,381,0.6666666666666671,0.666666666666667,0.0,0.44444444444444464,0.3142696805273546
0.0013345082600911458,0.0004719889992955193,0.001000801722208659,9.199648620915592e-07,0.001,balanced,ovo,1e-06,4126,0.050000010000000004,"{'C': 0.001, 'class_weight': 'balanced', 'decision_function_shape': 'ovo', 'gamma': 1e-06, 'max_iter': 4126, 'tol': 0.050000010000000004}",0.6666666666666666,0.6666666666666665,0.0,0.44628099173553715,0.31361431340512846,381,0.6666666666666671,0.666666666666667,0.0,0.44444444444444464,0.3142696805273546
0.001001437505086263,4.052336624139774e-07,0.001000801722208659,5.947204250930057e-07,0.001,balanced,ovo,1e-06,4126,0.06000001,"{'C': 0.001, 'class_weight': 'balanced', 'decision_function_shape': 'ovo', 'gamma': 1e-06, 'max_iter': 4126, 'tol': 0.06000001}",0.6666666666666666,0.6666666666666665,0.0,0.44628099173553715,0.31361431340512846,381,0.6666666666666671,0.666666666666667,0.0,0.44444444444444464,0.3142696805273546
0.001000801722208659,7.370009816086851e-07,0.0010005633036295574,0.0008169240736890131,0.001,balanced,ovo,1e-06,4126,0.07000001,"{'C': 0.001, 'class_weight': 'balanced', 'decision_function_shape': 'ovo', 'gamma': 1e-06, 'max_iter': 4126, 'tol': 0.07000001}",0.6666666666666666,0.6666666666666665,0.0,0.44628099173553715,0.31361431340512846,381,0.6666666666666671,0.666666666666667,0.0,0.44444444444444464,0.3142696805273546
0.0026695728302001953,0.00047170897459942107,0.001667340596516927,0.001247659745359114,0.001,balanced,ovo,1e-06,4126,0.08000001,"{'C': 0.001, 'class_weight': 'balanced', 'decision_function_shape': 'ovo', 'gamma': 1e-06, 'max_iter': 4126, 'tol': 0.08000001}",0.6666666666666666,0.6666666666666665,0.0,0.44628099173553715,0.31361431340512846,381,0.6666666666666671,0.666666666666667,0.0,0.44444444444444464,0.3142696805273546
0.0016680558522542317,0.0009430216915049132,0.001668850580851237,0.0009441458482839916,0.001,balanced,ovo,1e-06,4126,0.09000000999999999,"{'C': 0.001, 'class_weight': 'balanced', 'decision_function_shape': 'ovo', 'gamma': 1e-06, 'max_iter': 4126, 'tol': 0.09000000999999999}",0.6666666666666666,0.6666666666666665,0.0,0.44628099173553715,0.31361431340512846,381,0.6666666666666671,0.666666666666667,0.0,0.44444444444444464,0.3142696805273546
0.001001437505086263,1.0721474936192862e-06,0.0010000069936116536,7.867411722033552e-07,0.001,balanced,ovo,1.778279410038923e-05,4126,1e-08,"{'C': 0.001, 'class_weight': 'balanced', 'decision_function_shape': 'ovo', 'gamma': 1.778279410038923e-05, 'max_iter': 4126, 'tol': 1e-08}",0.6666666666666666,0.6666666666666665,0.0,0.44628099173553715,0.31361431340512846,381,0.6666666666666671,0.666666666666667,0.0,0.44444444444444464,0.3142696805273546
