param_max_iter,train acc,test acc
1,0.8345323741007198,0.8051118210862619
2,0.6666666666666691,0.6666666666666671
4,0.8575581395348839,0.8344370860927152
8,0.8931185944363105,0.8344370860927152
16,0.901525658807213,0.8737201365187716
32,0.901525658807213,0.8737201365187716
64,0.901525658807213,0.8737201365187716
128,0.901525658807213,0.8737201365187716
256,0.901525658807213,0.8737201365187716
512,0.901525658807213,0.8737201365187716
1024,0.901525658807213,0.8737201365187716
2048,0.901525658807213,0.8737201365187716
