mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_metric,param_n_neighbors,param_weights,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score
0.0,0.0,0.001001119613647461,3.371747880871523e-07,manhattan,1,uniform,"{'metric': 'manhattan', 'n_neighbors': 1, 'weights': 'uniform'}",0.7505070993914806,0.7835294117647059,0.7397260273972609,0.7579960313860826,0.01863686147388752,78,1.0,1.0,1.0,1.0,0.0
0.0,0.0,0.0010002454121907551,7.370009816086851e-07,manhattan,1,distance,"{'metric': 'manhattan', 'n_neighbors': 1, 'weights': 'distance'}",0.7505070993914806,0.7835294117647059,0.7397260273972609,0.7579960313860826,0.01863686147388752,78,1.0,1.0,1.0,1.0,0.0
0.00033410390218098957,0.0004724942697061294,0.0010013580322265625,7.018852922382233e-07,manhattan,2,uniform,"{'metric': 'manhattan', 'n_neighbors': 2, 'weights': 'uniform'}",0.7589743589743588,0.8314606741573033,0.7489597780859918,0.7799257021923304,0.03678117433177173,73,0.8930817610062886,0.8421052631578939,0.9068322981366459,0.8806731074336094,0.027843350814874
0.00033354759216308594,0.000471707528533926,0.001668850580851237,0.0009426283158956487,manhattan,2,distance,"{'metric': 'manhattan', 'n_neighbors': 2, 'weights': 'distance'}",0.7505070993914806,0.7835294117647059,0.7397260273972609,0.7579960313860826,0.01863686147388752,78,1.0,1.0,1.0,1.0,0.0
0.000667572021484375,0.0004720447434618672,0.0010000864664713542,1.1239159602905075e-07,manhattan,3,uniform,"{'metric': 'manhattan', 'n_neighbors': 3, 'weights': 'uniform'}",0.8360429870487738,0.8641671788567916,0.7938021454112042,0.8314925416167237,0.028877104485202497,21,0.8883925132866051,0.8586940129693855,0.9077789002742098,0.8849551421767335,0.020185690980528102
0.0003345012664794922,0.00047305622768627464,0.0016682942708333333,0.0009430219326167015,manhattan,3,distance,"{'metric': 'manhattan', 'n_neighbors': 3, 'weights': 'distance'}",0.826027770215083,0.8641671788567916,0.7938021454112042,0.8281403409409842,0.028735255666375786,36,1.0,1.0,1.0,1.0,0.0
0.00033394495646158856,0.00047226948651407126,0.0010016759236653645,7.370009816086851e-07,manhattan,4,uniform,"{'metric': 'manhattan', 'n_neighbors': 4, 'weights': 'uniform'}",0.8069554966106691,0.8216851730894839,0.7746835443037979,0.8012172635951084,0.019595489273548546,71,0.829141651792957,0.823264056710165,0.8511035125893689,0.8345030736974969,0.011981025541563514
0.00033410390218098957,0.0004724942697061294,0.0013343493143717449,0.00047125812297725106,manhattan,4,distance,"{'metric': 'manhattan', 'n_neighbors': 4, 'weights': 'distance'}",0.8118143459915611,0.8526379624014555,0.8151774785801719,0.826590228372926,0.018526480002249223,44,1.0,1.0,1.0,1.0,0.0
0.0003342628479003906,0.0004727190528981875,0.0010007222493489583,7.867411722033552e-07,manhattan,5,uniform,"{'metric': 'manhattan', 'n_neighbors': 5, 'weights': 'uniform'}",0.8580894533406959,0.8760124610591901,0.8087557603686641,0.8477798177515863,0.02838658700205679,1,0.8586940129693855,0.8441716039688765,0.8786562409498987,0.8605072859627202,0.014136560546787635
0.00033394495646158856,0.00047226948651407126,0.0010011990865071614,4.49566384116203e-07,manhattan,5,distance,"{'metric': 'manhattan', 'n_neighbors': 5, 'weights': 'distance'}",0.8580894533406959,0.8629057674125433,0.8087557603686641,0.8433928665723367,0.024420093169809833,3,1.0,1.0,1.0,1.0,0.0
0.0006678104400634766,0.0004722149860164524,0.0016675790150960286,0.0009438646435266755,manhattan,6,uniform,"{'metric': 'manhattan', 'n_neighbors': 6, 'weights': 'uniform'}",0.8342728297632469,0.8881869867340493,0.7705112960761005,0.8312402843899547,0.048038499716540464,23,0.8420112094874493,0.8283531280732269,0.8533772652388798,0.8412472009331854,0.010230335348840196
0.00033362706502278644,0.0004718199201299551,0.0010010401407877605,7.867411722033552e-07,manhattan,6,distance,"{'metric': 'manhattan', 'n_neighbors': 6, 'weights': 'distance'}",0.8360429870487738,0.877817319098458,0.7962747380675208,0.8368787762120968,0.03325985362622628,14,1.0,1.0,1.0,1.0,0.0
0.0003337860107421875,0.0004720447033220132,0.0013350645701090496,0.00047226952663482016,manhattan,7,uniform,"{'metric': 'manhattan', 'n_neighbors': 7, 'weights': 'uniform'}",0.8162496637072909,0.9135802469135803,0.7862068965517246,0.8388957623323493,0.054372049584930075,7,0.8644299377561859,0.8328579577866507,0.8726161013247925,0.856634665622543,0.017141610098004856
0.0003337860107421875,0.0004720447033220132,0.001669009526570638,0.0009433592680005212,manhattan,7,distance,"{'metric': 'manhattan', 'n_neighbors': 7, 'weights': 'distance'}",0.826027770215083,0.9013398294762486,0.7862068965517246,0.8380716004096522,0.047724135635209074,10,1.0,1.0,1.0,1.0,0.0
0.0003337860107421875,0.0004720447033220132,0.0010007222493489583,4.899036091938795e-07,manhattan,8,uniform,"{'metric': 'manhattan', 'n_neighbors': 8, 'weights': 'uniform'}",0.8447488584474886,0.8750399488654522,0.7536945812807888,0.8247870243587244,0.05147257825666935,48,0.8444583398468023,0.83649184662847,0.8659457858095096,0.8489653240949272,0.012439676136720259
0.0003345012664794922,0.00047305622768627464,0.0020023187001546225,0.0014150664734915584,manhattan,8,distance,"{'metric': 'manhattan', 'n_neighbors': 8, 'weights': 'distance'}",0.8140814081408141,0.8653673163418291,0.8066037735849062,0.8287754073135809,0.02613315412986124,33,1.0,1.0,1.0,1.0,0.0
