mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_class_weight,param_criterion,param_max_depth,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score
0.0,0.0,0.0006671746571858724,0.000471763814700398,balanced,gini,1,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 1}",0.7149972329828443,0.7017913593256059,0.7237813884785826,0.7134809382449219,0.009032201302618217,104,0.7739005374309272,0.7731081171660295,0.7600950118764846,0.7690345554911472,0.006329484576061176
0.0006673336029052734,0.00047187620627490306,0.00033322970072428387,0.0004712579621498098,balanced,gini,2,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 2}",0.7312379730596537,0.7575008824567594,0.6730769230769236,0.7208016576156336,0.035216435602631685,102,0.7348277747402945,0.7539563551557547,0.7816316560820714,0.7568052619927069,0.01921350271359543
0.00033410390218098957,0.0004724942697061294,0.0006669362386067709,0.00047159549854084375,balanced,gini,3,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 3}",0.7739307535641547,0.754246885617214,0.7335329341317371,0.7539877004307018,0.01647600224725007,50,0.8944099378881981,0.8488372093023251,0.8622547962923044,0.868500647827609,0.01912200118085995
0.0010004043579101562,3.371747880871523e-07,0.00033402442932128906,0.00047238187811010033,balanced,gini,4,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 4}",0.7777146105741899,0.6945201332122312,0.6723842195540313,0.7150485612025728,0.045356446047566494,103,0.9350649350649345,0.8939735739606827,0.9198273904156257,0.9162886331470809,0.01696107487954431
0.0013349056243896484,0.00047238187811010033,0.0003337860107421875,0.0004720447033220132,balanced,gini,5,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 5}",0.7318687932591031,0.6907817969661609,0.6562500000000003,0.6931185859844894,0.030883249992614582,111,0.9608006672226853,0.9432241392414682,0.9444828380557476,0.9495025481733004,0.008005485669915064
0.0013345082600911458,0.0004726628671220129,0.0003333886464436849,0.00047148274534186793,balanced,gini,6,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 6}",0.6961465571699307,0.7275882012724119,0.6397188049209142,0.6880166108574499,0.03629577731163716,112,0.9749416342412449,0.9579132661225793,0.9942196531791908,0.9756915178476717,0.01483150204448878
0.001001596450805664,0.00081780007755217,0.0010009606679280598,0.0008171187880203356,balanced,gini,7,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 7}",0.7171993911719939,0.6907817969661609,0.6397188049209142,0.6827437216234037,0.03210826120751544,157,0.9863013698630136,0.9874834797481147,1.0,0.9912616165370428,0.00619778751407181
0.0013346672058105469,0.0004720447033220132,0.0006670951843261719,0.0004717078900507154,balanced,gini,8,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 8}",0.70218663381583,0.6764966086700088,0.6397188049209142,0.6729373844422565,0.025600316531888136,158,1.0,1.0,1.0,1.0,0.0
0.00033394495646158856,0.00047226948651407126,0.0010008811950683594,7.786718186642895e-07,balanced,gini,9,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 9}",0.70218663381583,0.6764966086700088,0.6397188049209142,0.6729373844422565,0.025600316531888136,158,1.0,1.0,1.0,1.0,0.0
0.001001119613647461,0.0008171188962335985,0.0010013580322265625,0.0008170220318989527,balanced,gini,10,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 10}",0.70218663381583,0.6764966086700088,0.6397188049209142,0.6729373844422565,0.025600316531888136,158,1.0,1.0,1.0,1.0,0.0
0.0006676514943440756,0.000472100989423944,0.0006671746571858724,0.00047176373437288107,balanced,gini,11,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 11}",0.70218663381583,0.6764966086700088,0.6397188049209142,0.6729373844422565,0.025600316531888136,158,1.0,1.0,1.0,1.0,0.0
0.0013345877329508464,0.00047159577978738847,0.0006671746571858724,0.00047176421633777734,balanced,gini,12,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 12}",0.70218663381583,0.6764966086700088,0.6397188049209142,0.6729373844422565,0.025600316531888136,158,1.0,1.0,1.0,1.0,0.0
0.0006673336029052734,0.0004718761259665186,0.0003333886464436849,0.00047148274534186793,balanced,gini,13,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 13}",0.70218663381583,0.6764966086700088,0.6397188049209142,0.6729373844422565,0.025600316531888136,158,1.0,1.0,1.0,1.0,0.0
0.0010004043579101562,0.0008171188962335985,0.0006676514943440756,0.00047210090915379704,balanced,gini,14,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 14}",0.70218663381583,0.6764966086700088,0.6397188049209142,0.6729373844422565,0.025600316531888136,158,1.0,1.0,1.0,1.0,0.0
0.0010005633036295574,2.9736021254650284e-07,0.000667413075764974,0.0004719323117259841,balanced,gini,15,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 15}",0.70218663381583,0.6764966086700088,0.6397188049209142,0.6729373844422565,0.025600316531888136,158,1.0,1.0,1.0,1.0,0.0
0.00033354759216308594,0.000471707528533926,0.000667572021484375,0.00047204486388140876,balanced,gini,16,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 16}",0.70218663381583,0.6764966086700088,0.6397188049209142,0.6729373844422565,0.025600316531888136,158,1.0,1.0,1.0,1.0,0.0
