mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_base_estimator__criterion,param_base_estimator__max_depth,param_learning_rate,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score
0.0013343493143717449,0.00047159517711601586,0.00033354759216308594,0.000471707528533926,gini,1,0.01,1,"{'base_estimator__criterion': 'gini', 'base_estimator__max_depth': 1, 'learning_rate': 0.01, 'n_estimators': 1}",0.7008356545961002,0.7100213219616205,0.7242603550295863,0.7116538987749681,0.009622952930608802,1398,0.7806310716168376,0.7685746651562597,0.760955545008701,0.7700537605939327,0.008100303669706148
0.0020014444986979165,2.247831920581015e-07,0.0010007222493489583,1.1239159602905075e-07,gini,1,0.01,2,"{'base_estimator__criterion': 'gini', 'base_estimator__max_depth': 1, 'learning_rate': 0.01, 'n_estimators': 2}",0.7008356545961002,0.7100213219616205,0.7242603550295863,0.7116538987749681,0.009622952930608802,1398,0.7806310716168376,0.7685746651562597,0.760955545008701,0.7700537605939327,0.008100303669706148
0.005337874094645183,0.00047210098942394396,0.0006672541300455729,0.00047181992012995503,gini,1,0.01,5,"{'base_estimator__criterion': 'gini', 'base_estimator__max_depth': 1, 'learning_rate': 0.01, 'n_estimators': 5}",0.7008356545961002,0.7100213219616205,0.7242603550295863,0.7116538987749681,0.009622952930608802,1398,0.7806310716168376,0.7685746651562597,0.760955545008701,0.7700537605939327,0.008100303669706148
0.01634828249613444,0.008965196636775677,0.0013342698415120442,0.0004716513427792448,gini,1,0.01,10,"{'base_estimator__criterion': 'gini', 'base_estimator__max_depth': 1, 'learning_rate': 0.01, 'n_estimators': 10}",0.7008356545961002,0.7100213219616205,0.7242603550295863,0.7116538987749681,0.009622952930608802,1398,0.7806310716168376,0.7685746651562597,0.760955545008701,0.7700537605939327,0.008100303669706148
0.027024269104003906,0.009209894275622615,0.0010007222493489583,1.1239159602905075e-07,gini,1,0.01,20,"{'base_estimator__criterion': 'gini', 'base_estimator__max_depth': 1, 'learning_rate': 0.01, 'n_estimators': 20}",0.7008356545961002,0.7100213219616205,0.7242603550295863,0.7116538987749681,0.009622952930608802,1398,0.7806310716168376,0.7685746651562597,0.760955545008701,0.7700537605939327,0.008100303669706148
0.04404020309448242,0.010042412399719735,0.0020020008087158203,3.371747880871523e-07,gini,1,0.01,30,"{'base_estimator__criterion': 'gini', 'base_estimator__max_depth': 1, 'learning_rate': 0.01, 'n_estimators': 30}",0.7008356545961002,0.7100213219616205,0.7242603550295863,0.7116538987749681,0.009622952930608802,1398,0.7806310716168376,0.7685746651562597,0.760955545008701,0.7700537605939327,0.008100303669706148
0.06038848559061686,0.010882736626026644,0.0026695728302001953,0.00047187620627490306,gini,1,0.01,45,"{'base_estimator__criterion': 'gini', 'base_estimator__max_depth': 1, 'learning_rate': 0.01, 'n_estimators': 45}",0.7008356545961002,0.7671616699355561,0.7242603550295863,0.7307793871464093,0.027517382154846455,1248,0.7806310716168376,0.8135103528926183,0.760955545008701,0.785032323172719,0.021679948022269722
0.059720754623413086,0.000471707528533926,0.0030025641123453775,1.1239159602905075e-07,gini,1,0.01,60,"{'base_estimator__criterion': 'gini', 'base_estimator__max_depth': 1, 'learning_rate': 0.01, 'n_estimators': 60}",0.7008356545961002,0.7671616699355561,0.7242603550295863,0.7307793871464093,0.027517382154846455,1248,0.7806310716168376,0.8135103528926183,0.760955545008701,0.785032323172719,0.021679948022269722
0.07973877588907878,0.00047165182485899015,0.0036698182423909507,0.000472100909153797,gini,1,0.01,80,"{'base_estimator__criterion': 'gini', 'base_estimator__max_depth': 1, 'learning_rate': 0.01, 'n_estimators': 80}",0.7008356545961002,0.7671616699355561,0.7735191637630665,0.7470632908599566,0.03289157819825735,927,0.7806310716168376,0.8135103528926183,0.8439439872960878,0.8126951372685146,0.025853816679390507
0.10376095771789551,0.009681390118324161,0.0040035247802734375,3.8933590933214475e-07,gini,1,0.01,90,"{'base_estimator__criterion': 'gini', 'base_estimator__max_depth': 1, 'learning_rate': 0.01, 'n_estimators': 90}",0.7008356545961002,0.7671616699355561,0.7735191637630665,0.7470632908599566,0.03289157819825735,927,0.7806310716168376,0.8135103528926183,0.8439439872960878,0.8126951372685146,0.025853816679390507
0.11477152506510417,0.01041293739036512,0.004670461018880208,0.0004714266399769444,gini,1,0.01,100,"{'base_estimator__criterion': 'gini', 'base_estimator__max_depth': 1, 'learning_rate': 0.01, 'n_estimators': 100}",0.7008356545961002,0.7865555874748635,0.7735191637630665,0.7535546434247661,0.03776959549338225,818,0.7806310716168376,0.8302843439534083,0.8439439872960878,0.8182864676221113,0.027204081805221596
0.001000801722208659,2.9736021254650284e-07,0.00033354759216308594,0.000471707528533926,gini,1,0.02,1,"{'base_estimator__criterion': 'gini', 'base_estimator__max_depth': 1, 'learning_rate': 0.02, 'n_estimators': 1}",0.7008356545961002,0.7100213219616205,0.7242603550295863,0.7116538987749681,0.009622952930608802,1398,0.7806310716168376,0.7685746651562597,0.760955545008701,0.7700537605939327,0.008100303669706148
0.0033357938130696616,0.0018874482704235758,0.0010011990865071614,0.0008173134559634954,gini,1,0.02,2,"{'base_estimator__criterion': 'gini', 'base_estimator__max_depth': 1, 'learning_rate': 0.02, 'n_estimators': 2}",0.7008356545961002,0.7100213219616205,0.7242603550295863,0.7116538987749681,0.009622952930608802,1398,0.7806310716168376,0.7685746651562597,0.760955545008701,0.7700537605939327,0.008100303669706148
