mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_activation,param_alpha,param_hidden_layer_sizes,param_learning_rate_init,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score
0.004003286361694336,0.0008166321394313058,0.0013352235158284504,0.00047232569234108,relu,10.0,"(13,)",1e-06,"{'activation': 'relu', 'alpha': 10.0, 'hidden_layer_sizes': (13,), 'learning_rate_init': 1e-06}",0.6561576354679802,0.7376610746413809,0.6868884540117419,0.6935966604950314,0.033673910926195004,819,0.712195121951219,0.6718203570771206,0.6971736204576043,0.6937296998286481,0.01666184966990152
0.003669897715250651,0.00047198851756015723,0.0006671746571858724,0.000471763814700398,relu,10.0,"(13,)",0.001,"{'activation': 'relu', 'alpha': 10.0, 'hidden_layer_sizes': (13,), 'learning_rate_init': 0.001}",0.6561576354679802,0.7376610746413809,0.6868884540117419,0.6935966604950314,0.033673910926195004,819,0.712195121951219,0.6718203570771206,0.6971736204576043,0.6937296998286481,0.01666184966990152
0.0036695003509521484,0.0004718761259665186,0.0010009606679280598,2.9736021254650284e-07,relu,10.0,"(13,)",0.002,"{'activation': 'relu', 'alpha': 10.0, 'hidden_layer_sizes': (13,), 'learning_rate_init': 0.002}",0.6561576354679802,0.7376610746413809,0.7135777998017842,0.7024195847231446,0.03425192499286049,797,0.712195121951219,0.6718203570771206,0.7047619047619047,0.6962591279300815,0.01754524285095584
0.004670858383178711,0.0017012800163987074,0.000667413075764974,0.0004719323117259841,relu,10.0,"(13,)",0.004,"{'activation': 'relu', 'alpha': 10.0, 'hidden_layer_sizes': (13,), 'learning_rate_init': 0.004}",0.7140887786049076,0.7376610746413809,0.7135777998017842,0.7218097607317856,0.011245257878606143,741,0.8026388125343588,0.700328199949507,0.7047619047619047,0.7359096390819234,0.047219356037009254
0.004670937856038411,0.00047176373437288107,0.0006672541300455729,0.00047181996028893236,relu,10.0,"(13,)",0.008,"{'activation': 'relu', 'alpha': 10.0, 'hidden_layer_sizes': (13,), 'learning_rate_init': 0.008}",0.7140887786049076,0.797371879106439,0.7516059957173451,0.7543669129421764,0.03412555730012681,579,0.8026388125343588,0.7560531840447855,0.7392218717139852,0.7659712894310431,0.02682292187158059
0.004336913426717122,0.0004721571350483414,0.0006671746571858724,0.00047176373437288107,relu,10.0,"(13,)",0.016,"{'activation': 'relu', 'alpha': 10.0, 'hidden_layer_sizes': (13,), 'learning_rate_init': 0.016}",0.7140887786049076,0.806700345652752,0.7735191637630665,0.764733273412875,0.03838632730961687,531,0.8124652198107951,0.7718333685768652,0.8304784406379208,0.8049256763418603,0.024528142422552995
0.004337231318155925,0.000471763814700398,0.0010004838307698567,2.9736021254650284e-07,relu,10.0,"(13,)",0.032,"{'activation': 'relu', 'alpha': 10.0, 'hidden_layer_sizes': (13,), 'learning_rate_init': 0.032}",0.7770228536133414,0.8540988458123706,0.8172043010752692,0.8161041394194389,0.03154056434450437,88,0.8649418822647162,0.8174692049272108,0.8835820895522387,0.8553310589147219,0.027832886093722076
0.0036698182423909507,0.0004719323518753975,0.0,0.0,relu,10.0,"(13,)",0.064,"{'activation': 'relu', 'alpha': 10.0, 'hidden_layer_sizes': (13,), 'learning_rate_init': 0.064}",0.7770228536133414,0.8414123279473369,0.8297872340425536,0.8160174728504926,0.02806223193801257,89,0.852376980817347,0.8174692049272108,0.8773825604082246,0.8490762487175941,0.02457062834014544
0.0033362706502278647,0.0009434712980527898,0.0006672541300455729,0.00047181992012995503,relu,10.0,"(13,)",0.128,"{'activation': 'relu', 'alpha': 10.0, 'hidden_layer_sizes': (13,), 'learning_rate_init': 0.128}",0.8342728297632469,0.8396197485433917,0.7856225930680364,0.8199797780507465,0.024242651951371885,62,0.8273855107979775,0.8207932229495561,0.8576726935558645,0.8352838091011326,0.016058459351478045
0.0023354689280192056,0.00047159517711601586,0.0010006427764892578,1.9466795466607238e-07,relu,10.0,"(6,)",1e-06,"{'activation': 'relu', 'alpha': 10.0, 'hidden_layer_sizes': (6,), 'learning_rate_init': 1e-06}",0.038361845515811274,0.03590490053372147,0.07331975560081468,0.049095813545774074,0.01705249893364329,2047,0.05440317972922613,0.05624759214074734,0.037092731829573906,0.04924783456651579,0.0086278756054683
0.0023358662923177085,0.0004716514231259032,0.0006670157114664713,0.0004716513427792448,relu,10.0,"(6,)",0.001,"{'activation': 'relu', 'alpha': 10.0, 'hidden_layer_sizes': (6,), 'learning_rate_init': 0.001}",0.038361845515811274,0.03590490053372147,0.07331975560081468,0.049095813545774074,0.01705249893364329,2047,0.05440317972922613,0.05624759214074734,0.037092731829573906,0.04924783456651579,0.0086278756054683
0.0023355484008789062,0.0004718761259665186,0.0006672541300455729,0.00047181992012995503,relu,10.0,"(6,)",0.002,"{'activation': 'relu', 'alpha': 10.0, 'hidden_layer_sizes': (6,), 'learning_rate_init': 0.002}",0.038361845515811274,0.03590490053372147,0.07331975560081468,0.049095813545774074,0.01705249893364329,2047,0.05440317972922613,0.05624759214074734,0.037092731829573906,0.04924783456651579,0.0086278756054683
0.0026690165201822915,0.00047181992012995503,0.00033354759216308594,0.000471707528533926,relu,10.0,"(6,)",0.004,"{'activation': 'relu', 'alpha': 10.0, 'hidden_layer_sizes': (6,), 'learning_rate_init': 0.004}",0.038361845515811274,0.03590490053372147,0.07331975560081468,0.049095813545774074,0.01705249893364329,2047,0.05440317972922613,0.05624759214074734,0.037092731829573906,0.04924783456651579,0.0086278756054683
