param_max_iter,train acc,test acc
1,0.849194729136164,0.8226652675760754
2,0.8449669360764144,0.8226652675760754
4,0.849194729136164,0.8226652675760754
8,0.849194729136164,0.8226652675760754
16,0.849194729136164,0.8226652675760754
32,0.849194729136164,0.8226652675760754
64,0.849194729136164,0.8226652675760754
128,0.849194729136164,0.8226652675760754
256,0.849194729136164,0.8226652675760754
512,0.849194729136164,0.8226652675760754
1024,0.849194729136164,0.8226652675760754
2048,0.849194729136164,0.8226652675760754
